Route,Latitude,Longitude,Heading,Time
11,43.697632,-79.396965,216,1518751086851
14,43.70475,-79.464401,216,1518751088694
14,43.710518,-79.444466,216,1518751088694
17,43.756985,-79.288651,344,1518751089425
21,43.789368,-79.269547,160,1518751086679
21,43.828133,-79.287148,359,1518751086679
22,43.6840819,-79.323181,183,1518751086678
24,43.816616,-79.34153,216,1518751087051
24,43.812302,-79.339767,346,1518751087051
25,43.680099,-79.344734,110,1518751089909
25,43.703415,-79.3514019,43,1518751088909
25,43.728867,-79.341049,349,1518751088909
25,43.683651,-79.346703,164,1518751089909
25,43.782501,-79.352386,173,1518751088909
25,43.759251,-79.347031,359,1518751089909
25,43.811783,-79.357765,72,1518751086909
29,43.714249,-79.454918,171,1518751092012
29,43.638966,-79.427437,164,1518751087012
29,43.670799,-79.570396,216,1518751088012
29,43.646015,-79.43013,165,1518751092012
29,43.66925,-79.439316,343,1518751087012
32,43.699749,-79.436569,13,1518751088255
32,43.6922,-79.464714,245,1518751088255
32,43.692833,-79.463486,235,1518751088255
32,43.698868,-79.435867,252,1518751088255
32,43.698582,-79.437202,72,1518751087255
32,43.699615,-79.436531,41,1518751087255
32,43.695366,-79.451485,77,1518751088255
32,43.684032,-79.500465,82,1518751091255
34,43.7089,-79.388153,255,1518751086772
34,43.711552,-79.37532,255,1518751087772
34,43.727749,-79.328163,130,1518751087772
34,43.708851,-79.388435,255,1518751086772
34,43.7224999,-79.332184,69,1518751087772
34,43.707249,-79.395386,75,1518751087772
34,43.706749,-79.398636,76,1518751086772
34,43.724751,-79.301315,76,1518751089772
34,43.7069509,-79.3980179,252,1518751087772
34,43.708717,-79.389069,255,1518751087772
34,43.714649,-79.359467,67,1518751088772
35,43.669815,-79.49308,163,1518751086782
35,43.664783,-79.490753,344,1518751091782
35,43.715199,-79.507263,169,1518751090782
35,43.690948,-79.500687,349,1518751091782
36,43.7458,-79.531998,-4,1518751091902
37,43.674034,-79.536453,162,1518751086155
37,43.645016,-79.52475,51,1518751085155
38,43.783585,-79.20063,72,1518751072733
38,43.787182,-79.139885,163,1518751076733
39,43.813168,-79.242783,253,1518751091007
39,43.78175,-79.406998,253,1518751105007
39,43.782349,-79.4037479,73,1518751105007
39,43.812134,-79.226013,252,1518751090007
39,43.796982,-79.315552,231,1518751088007
39,43.803932,-79.286064,253,1518751104007
39,43.797199,-79.313568,76,1518751103007
39,43.780384,-79.414833,340,1518751107007
39,43.821083,-79.201569,163,1518751094007
39,43.7938,-79.238998,216,1518751097007
39,43.795284,-79.342819,265,1518751104007
39,43.792534,-79.354965,73,1518751106007
39,43.8055499,-79.277496,43,1518751107007
40,43.665565,-79.479836,92,1518751104881
40,43.664433,-79.458633,302,1518751104881
41,43.731716,-79.483315,171,1518751096833
41,43.764984,-79.501213,353,1518751103833
41,43.679035,-79.474251,144,1518751098833
41,43.765598,-79.50132,11,1518751103833
41,43.693584,-79.474548,351,1518751096833
41,43.736916,-79.484413,350,1518751096833
41,43.655418,-79.459564,216,1518751106833
42,43.818115,-79.271751,254,1518751095350
42,43.815533,-79.282333,82,1518751087350
42,43.7808149,-79.41497,183,1518751103350
42,43.805283,-79.326164,252,1518751101350
42,43.80035,-79.361084,137,1518751103350
42,43.79435,-79.384903,253,1518751086350
42,43.737183,-79.452232,-4,1518751092350
43,43.82515,-79.300453,58,1518751105355
43,43.76635,-79.280998,355,1518751088355
43,43.7308499,-79.274284,-4,1518751098355
43,43.818916,-79.302963,253,1518751088355
43,43.732182,-79.263664,-4,1518751097355
43,43.732449,-79.266136,140,1518751104355
43,43.788784,-79.290833,163,1518751089355
